Gene H. Golub,Dianne P. O'Leary,American
Inderjit Dhillon,Joel Tropp,
Mark Kac,Daniel Stroock,
Mark Kac,Harry Kesten,
Mark Kac,William LeVeque,
Mark Kac,William Newcomb,
Mark Kac,Lonnie Cross,
Mark Kac,Daniel B. Ray,
Mark Kac,Murray Rosenblatt,
Mark Kac,William J. LeVeque,
C. Felix Klein,Ferdinand von Lindemann,
C. Felix Klein,Ludwig Bieberbach,
C. Felix Klein,Maxime Bôcher,
C. Felix Klein,Oskar Bolza,
C. Felix Klein,Max Brückner,
C. Felix Klein,Frank Nelson Cole,
C. Felix Klein,Friedrich Dingeldey,
C. Felix Klein,Henry B. Fine,
C. Felix Klein,Erwin Freundlich,
C. Felix Klein,Robert Fricke,
C. Felix Klein,Philipp Furtwängler,
C. Felix Klein,Axel Harnack,
C. Felix Klein,Mellen Haskell,
C. Felix Klein,Adolf Hurwitz,
C. Felix Klein,Edward Kasner,
C. Felix Klein,Alexander Ostrowski,
C. Felix Klein,Julio Rey Pastor,
C. Felix Klein,Hermann Rothe,
C. Felix Klein,Friedrich Schilling,
C. Felix Klein,Virgil Snyder,
C. Felix Klein,Edward Van Vleck,
C. Felix Klein,Walther von Dyck,
C. Felix Klein,Adolf Weiler,
C. Felix Klein,Henry Seely White,
C. Felix Klein,Alexander Witting,
C. Felix Klein,Grace Chisholm Young,
Hermann Minkowski,Constantin Carathéodory,
Hermann Minkowski,Louis Kollros,
Hermann Minkowski,Dénes Kőnig,
Hermann Minkowski,Anna Wheeler,
Oskar Perron,Helmut Röhrl,
Oskar Perron,Georgi Bradistilov,
Arnold Sommerfeld,Werner Heisenberg,
Arnold Sommerfeld,Wolfgang Pauli,
Arnold Sommerfeld,Peter Debye,
Arnold Sommerfeld,Paul Sophus Epstein,
Arnold Sommerfeld,Hans Bethe,
Arnold Sommerfeld,Ernst Guillemin,
Arnold Sommerfeld,Karl Bechert,
Arnold Sommerfeld,Paul Peter Ewald,
Arnold Sommerfeld,Herbert Fröhlich,
Arnold Sommerfeld,Erwin Fues,
Arnold Sommerfeld,Karl Herzfeld,
Arnold Sommerfeld,Helmut Hönl,
Arnold Sommerfeld,Ludwig Hopf,
Arnold Sommerfeld,Walther Kossel,
Arnold Sommerfeld,Adolf Kratzer,
Arnold Sommerfeld,Alfred Landé,
Arnold Sommerfeld,Otto Laporte,
Arnold Sommerfeld,Wilhelm Lenz,
Arnold Sommerfeld,Rudolf Peierls,
Arnold Sommerfeld,Walter Rogowski,
Arnold Sommerfeld,Rudolf Seeliger,
Arnold Sommerfeld,Heinrich Welker,
Arnold Sommerfeld,Gregor Wentzel,
Arnold Sommerfeld,Hermann Brück,
Arnold Sommerfeld,Karl Meissner,
Arnold Sommerfeld,Ernst C. Stückelberg,
Arnold Sommerfeld,Eugene Feenberg,
Arnold Sommerfeld,Max von Laue,
Alexander Weinstein,Ruth M. Davis,Russian American
Kurt Reidemeister,Günter Hotz,Germany
Kurt Reidemeister,Heiner Zieschang,Germany
Heinrich Behnke,Friedrich Hirzebruch,
Heinrich Behnke,Hans Grauert,
Robert Horton Cameron,Elizabeth Cuthill,American
Arthur Herbert Copeland,Ronald Getoor,
Arthur Herbert Copeland,Howard Raiffa,
Reinhold Baer,Bernd Fischer,
Reinhold Baer,Grace Bates,
Salomon Bochner,Richard Askey,
Salomon Bochner,Eugenio Calabi,
Salomon Bochner,Jeff Cheeger,
Salomon Bochner,M. T. Cheng,
Salomon Bochner,Charles L. Dolph,
Salomon Bochner,Hillel Furstenberg,
Salomon Bochner,Robert Gunning,
Salomon Bochner,Israel Halperin,
Salomon Bochner,Sigurdur Helgason,
Salomon Bochner,Carl Herz,
Salomon Bochner,Gilbert Hunt,
Salomon Bochner,Samuel Karlin,
Salomon Bochner,Anthony Knapp,
Salomon Bochner,Paco Lagerstrom,
